Org,Action,Org
SCAP,acquire from,PLC
Fitch,placed on,rating
Fitch,placed to,Outlook
The Central Bank of Sri Lanka,pursuing as,part
CBSL,Bank of,Lanka
Abans Finance,rate below,notches
Abans Finance,rate below,parent
Abans Finance,rate due,to
Abans Finance,rate due,role
Standard Chartered Sri Lanka,won at,Awards
Bank,Campaign on,Loan
Standard Chartered Sri Lanka,Head of,Banking
Banking and,institutions in,Asia
Unit Trust Funds,accessible to,generation
Softlogic Invest,offers With,solution
Softlogic Invest,offers to,Lankans
Money Market Fund,yield at,%
Money Market Fund,yield at,(
Money Market Fund,yield at,at
Money Market Fund,yield at,)
Money Market Fund,yield since,inception
Softlogic Invest,was among,companies
Softlogic Invest,was in,terms
Softlogic Life,has under,portfolio
Softlogic Invest,changed “As,entrant
Softlogic Invest,changed within,year
National Development Bank PLC,hosted on,August
NDB,achieved amidst,conditions
NDB,achieved during,half
NDB,achieved with,enhancement
National Development Bank PLC,awarded at,Awards
Shareek Islamic Banking,caters to,array
Bank,thrust towards,empowering
NDB,tapped In,line
NDB,tapped through,mobilising
Islamic Banking,product in,market
Bank,expanded to,customers
Bank,expanded through,Shareek
NDB Shareek,awarded amid,competition
Islamic Banking Unit,Shareek In,Year
NDB,been with,together
NDB,been with,insights
NDB,plays With,decades
NDB,plays in,projects
Bank,doing since,2015
Bank,doing under,Banking
Bank,granted under,Banking
NDB Group,positioned towards,assisting
Central Banks,SDFR of,%
CBSL,holding of,Securities
Investments and Finance PLC,done in,FY21
Bank,proposed With,aim
Bank,employed With,intention
Commercial Bank,was as,member
Union Assurance PLC,set with,launch
Union Assurance,continues With,branches
the Union Bank Board,served since,2017
the Union Bank Board,served as,Director
Board,committees of,bank
National Insurance Trust Fund,serves on,theBoard
UOL,School of,Economics
People’s Leasing Fleet Management Ltd.,PLC in,Bangladesh
StanChart,boosted in,common
Amãna Bank,emerged From,beginning
Amãna Bank,emerged as,institution
Amãna Bank,regard Amongst,initiatives
Amãna Bank,regard as,one
Sharia Supervisory Council,Board of,Directors
Bank,drawn in,taking
Fitch Ratings,affirmed In,October
Fitch Ratings,affirmed to,BB+(lka
Fitch Ratings,affirmed to,)
Fitch Ratings,affirmed with,Outlook
CBSL,holding of,Securities
The Bank of Ceylon,opened at,complex
HSBC Sri Lanka,continued On,backdrop
HSBC Sri Lanka,continued at,Banking
HSBC Sri Lanka,continued for,time
HSBC Country,Head of,Wealth
HSBC Sri Lanka,named in,Awards
HSBC Sri Lanka,named for,year
HSBC Sri Lanka’s,commitment to,country
SDB bank,continue for,years
NDBIB,advising on,listing
SDB bank,advising on,listing
Citizens Development Business Finance,etched in,history
Citizens Development Business Finance,etched by,ranked
CDB,insistence of,applying
CDB,worked in,year
CDB,worked on,beliefs
HNB PLC,joined with,Ltd.
HNB PAYFAST,is among,solutions
HNB PAYFAST,is without,charges
HNB,offers to,customers
PAYFAST,aimed at,improving
CBSL,Bank of,Lanka
Bank,Income during,half
Bank,booked during,period
Bank,momentum in,quarter
Bank,remained in,maintaining
Sampath Saviya Business Advisory Services,access by,calling
Sampath Saviya Business Advisory Services,access by,or
Sampath Saviya Business Advisory Services,access by,by
Bank,shifted With,rise
Bank,transforming As,part
Bank,transforming into,company
Bank,transforming from,approach
Investment+ augers,augers in,environment
Investment+ augers,augers as,solution
Union Assurance,continues With,branches
AIA Insurance,recognised in,list
AIA Sri Lanka,recognised in,list
AIA,recognised as,Workplace
AIA,recognised for,year
AIA,inducted into,Hall
AIA,inducted in,2017
AIA,inducted in,year
AIA Sri Lanka,received from,institute
AIA Sri Lanka,received over,years
AIA,success in,differentiating
The Commercial Bank of Ceylon,recognised as,Brand
The Commercial Bank of Ceylon,recognised in,2021
Commercial Bank,named in,ranking
Brand Finance PLC,headquartered in,London
Brand Finance,rankings for,Lanka
Bank,is In,addition
Bank,is at,level
awardTaxperts Lanka Ltd.,won at,Awards
SLASSCOM,Association of,Companies
Taxperts,won at,Awards
ICTA,Agency of,Lanka
Taxperts,nominated for,Award
Taxperts,nominated in,2019
Taxperts,enables in,particular
Finance,preparing for,milestone
Finance,preparing by,listing
NDB Investment Bank,Advisors to,listing
F.J. & G. de Saram,Firm as,Advisors
Sampath Bank PLC,Firm as,Advisors
LCB,awarded at,Awards
LCB,awarded in,UK
LCB,achieved At,end
“The Rating Committee,revised after,consideration
“The Rating Committee,revised from,outlook
“The Rating Committee,revised to,Stable
NDB Wealth,provided with,plans
Fitch Ratings,upgraded to,‘
Fitch Ratings,upgraded to,AA-(lka
Fitch Ratings,upgraded to,)
Fitch Ratings,upgraded to,’
Fitch Ratings,upgraded from,‘
Fitch Ratings,upgraded from,BB-(lka
Fitch Ratings,upgraded from,)
Fitch Ratings,upgraded from,’
Fitch,expectation of,support
Fitch,expectation based,on
MMFSL,stake in,Ideal
Ideal,be of,importance
Ideal,be due,to
Ideal,be due,role
MMFSL,investment in,Ideal
Ideal,importance to,parent
APB – Sri Lanka,formed in,July
APB,formed with,mission
APB,functions as,forum
APB,continued Since,1998
the University of Kelaniya – Sri Lanka,holds from,University
The Banking with the Poor Network,Services for,Settlement
Avira,Programme in,Switzerland
the Insead Executive Management Programme,Programme in,Switzerland
LankaClear,launched in,2017
LankaClear,launched under,direction
LankaClear,launched with,objective
Pan Asia Bank,been on,journey
CFA Institute,Director of,Relations
CFA Institute,Director with,winning
CFA CFA Society,Director of,Relations
CFA CFA Society,Director with,winning
CC,restructured In,bid
CC,restructured by,converting
CC,led With,experience
CFA,Director of,Relations
CDB,be at,forefront
CDB,be in,supporting
CDB,initiated With,this
CDB,be in,support
Finance PLC,Bank of,Lanka
the Board of Directors,comprises of,Ratwatte
Sri Lanka Insurance,held at,AGM
Sri Lanka Insurance,held via,platform
Sri Lanka Insurance,held on,July
Sri Lanka Insurance,recorded in,2020
SLIC,delivered “Notwithstanding,environment
SLIC,delivered in,2020
SLIC,trajectory for,years
SLIC,improve based,on
Sri Lanka Insurance Corporation,is with,base
Sri Lanka Insurance,ranked as,Brand
Sri Lanka Insurance,ranked in,country
Sri Lanka Insurance,ranked for,year
Sri Lanka Insurance,recognised as,Place
IFC,investments in,region
IFC,focus in,Asia
IFC,operations in,Angola
IFC,joined in,2006
IFC,joined as,Officer
Tecnologico de Monterrey –,degrees from,Monterrey
IFC,Director of,Mobilisation
HNB,demonstrated in,each
HNB,pivot to,products
the Central Bank of Sri Lanka,supported during,year
CBSL,Bank of,Lanka
HNB,adopted in,providing
HNB,accolades including,recognition
Seylan Bank,Head of,Channels
Seylan Bank,joined with,PayHere
PayHere,join with,account
Seylan Bank,contributed towards,growth
Seylan Bank,contributed by,mobilising
PayHere,join through,process
Seylan Bank,operates with,vision
CBSL,holding of,securities
Korea University,Lecturer in,Economics
Kanrich,turn into,company
KFL,celebrates in,October
Central Banks,SLDR of,%
Central Banks,SLFR of,%
Sunshine Holdings,emerged as,awardee
Sunshine Holdings,emerged at,Awards
Sunshine Holdings’,efforts towards,maintaining
APB,Association of,Bankers
Million Dollar Round Table,association for,professionals
MDRT,recognised as,standard
MDRT,companies in,world
Softlogic Life’s,commitment towards,innovating
MPC,introduced As,testament
MPC,introduced to,portfolio
MPC,introduced in,May
Corporate Debt Structuring,introduced As,testament
Corporate Debt Structuring,introduced to,portfolio
Corporate Debt Structuring,introduced in,May
MPC,established in,response
Minato M Power Capital Ltd.,established in,response
Central Banks,SLDR of,%
PAP,PLC to,grid
Emerald Sri Lanka Fund,sold along,with
Emerald Sri Lanka Fund,sold for,value
NDB Investment Bank,acted as,advisor
RIL Property PLC,select as,investor
Emerald Sri Lanka Fund’s,investment in,Power
Panasian Power,recorded Despite,disruptions
Panasian Power,recorded in,year
PAP,is on,forefront
Panasian Power,has On,back
Panasian Power,IPP as,per
JAT Holdings,taps through,Offering
JAT Holdings,taps as,entity
NDB Capital,belong to,conglomerate
the NDB Banking Group,conglomerate in,Lanka
NDB Group,positioned towards,assisting
Seylan Bank,work As,part
